node1	node2	distance
t100342	t177129	1
t10143	t174871	1
t103100	t163140	1
t103100	t172703	1
t103287	t149351	1
t103287	t150553	1
t103287	t152624	1
t103287	t17925	1
t103561	t128818	1
t103583	t106736	1
t103583	t113139	1
t103583	t138133	1
t103583	t150553	1
t103583	t163904	1
t103583	t235162	1
t103583	t9248	1
t103583	t96163	1
t103754	t97945	1
t104133	t9248	1
t104328	t219995	1
t104328	t234988	1
t104982	t111224	1
t104982	t149351	1
t104982	t190784	1
t104982	t219406	1
t104982	t94904	1
t105062	t58298	1
t105278	t106134	1
t105278	t132010	1
t105278	t14725	1
t105278	t151799	1
t105278	t160412	1
t105278	t168350	1
t105278	t178507	1
t105278	t29489	1
t105278	t34866	1
t105278	t9248	0
t105278	t96977	1
t105368	t94439	1
t106134	t114742	1
t106134	t124856	1
t106134	t141978	1
t106134	t165630	1
t106134	t17299	1
t106134	t215053	1
t106134	t218633	1
t106134	t226142	1
t106134	t9248	1
t106321	t232722	1
t106564	t169995	1
t106643	t44177	0
t106736	t90078	1
t107205	t127549	1
t107667	t115438	1
t107667	t133187	1
t107667	t96937	0
t107951	t172086	1
t107951	t45644	1
t108198	t71905	1
t108528	t103561	1
t108528	t114480	1
t108528	t13131	1
t108528	t134658	1
t108528	t141978	1
t108528	t163140	1
t108528	t179621	1
t108528	t190142	1
t108528	t22802	1
t108528	t36537	1
t108528	t6019	1
t108528	t66071	1
t108528	t80455	1
t108528	t98396	1
t108923	t14395	1
t109374	t103561	1
t109374	t138474	1
t109374	t181538	1
t110299	t147781	0
t110299	t212742	1
t110299	t220995	1
t110299	t45644	1
t110485	t165630	1
t110485	t95693	1
t110672	t151803	1
t110840	t160412	1
t110840	t39296	1
t111224	t128818	1
t111224	t165630	1
t111224	t17873	1
t111442	t161246	1
t111468	t169995	1
t111468	t3553	1
t111468	t87275	1
t111998	t168676	1
t111998	t174871	1
t111998	t188002	1
t112835	t92308	1
t113139	t76999	1
t113344	t111224	1
t113344	t116317	0
t113344	t132010	1
t113344	t142481	1
t113344	t14725	1
t113344	t160412	1
t113344	t166883	1
t113344	t169995	1
t113344	t178507	1
t113344	t17991	1
t113344	t232722	1
t113344	t30406	1
t113344	t3553	1
t113344	t54752	1
t113344	t5716	1
t113344	t63796	1
t113344	t71606	1
t113344	t92308	1
t113379	t165630	1
t113379	t215053	1
t113379	t97945	1
t113576	t165863	1
t114294	t154488	1
t114294	t199033	1
t114480	t136272	1
t114480	t36537	1
t114712	t165630	1
t114712	t96032	1
t114742	t12190	1
t114742	t5839	1
t115374	t138133	1
t115374	t168676	1
t115374	t195110	1
t115374	t21264	1
t115374	t217596	1
t115374	t98074	1
t115783	t113682	0
t115783	t148384	1
t115783	t228428	1
t115783	t24303	1
t115783	t29133	1
t116317	t107667	1
t116317	t111224	1
t116317	t123423	1
t116317	t13126	1
t116317	t132010	0
t116317	t141978	1
t116317	t14725	1
t116317	t151799	1
t116317	t154488	1
t116317	t155460	1
t116317	t159643	1
t116317	t161088	0
t116317	t169995	1
t116317	t178507	1
t116317	t18671	1
t116317	t232722	1
t116317	t28491	1
t116317	t3553	1
t116317	t49805	1
t116317	t54752	0
t116317	t5839	1
t116317	t71606	0
t116317	t92308	1
t116317	t9248	1
t116317	t96937	1
t116317	t98693	1
t116396	t108923	1
t116396	t113379	1
t116396	t138474	1
t116396	t174871	1
t116396	t180981	1
t116396	t86746	1
t116817	t23114	1
t118358	t146373	1
t118358	t180016	1
t118358	t190871	1
t119135	t100342	1
t119135	t116396	1
t119135	t118358	1
t119135	t145025	1
t119135	t145267	1
t119135	t14725	1
t119135	t151799	0
t119135	t170394	1
t119135	t90078	1
t119531	t35319	1
t119531	t63547	1
t119531	t76820	1
t119531	t92308	1
t119723	t123423	1
t119723	t206584	1
t119723	t210260	1
t119775	t123423	1
t119775	t1838	1
t120013	t113379	1
t120013	t190871	1
t120013	t99041	1
t120166	t168996	1
t120166	t2327	1
t120166	t58649	1
t120906	t18671	1
t121698	t121700	0
t121698	t159643	1
t121698	t174853	1
t121698	t224219	1
t121700	t17299	1
t121700	t180592	1
t121776	t75520	1
t121776	t87259	1
t121776	t93656	1
t12190	t161246	1
t12190	t29231	1
t121910	t222452	1
t122119	t200921	1
t122119	t63547	1
t123332	t147926	1
t125594	t113139	1
t125594	t14725	1
t125594	t181565	1
t125594	t234612	1
t125705	t168996	1
t126262	t114294	1
t126262	t114742	1
t126262	t142481	1
t126262	t145898	1
t126262	t160412	1
t126262	t178507	1
t126262	t182271	1
t126262	t232722	1
t126262	t5839	1
t126262	t97945	1
t126488	t166108	1
t126488	t169459	1
t126488	t224784	1
t126705	t134658	1
t126705	t146373	1
t126705	t168419	1
t126705	t17873	1
t126705	t6019	0
t127631	t103561	1
t127836	t85284	1
t127933	t169995	1
t127933	t182271	1
t127966	t113379	1
t127966	t114294	1
t127966	t123423	1
t127966	t132010	1
t127966	t134229	1
t127966	t14725	1
t127966	t151799	1
t127966	t154488	1
t127966	t160412	1
t127966	t174471	1
t127966	t178507	1
t127966	t18671	1
t127966	t232722	1
t127966	t26277	1
t127966	t54752	1
t127966	t65954	0
t127966	t71606	1
t127966	t7376	1
t127966	t90078	1
t127966	t99041	1
t128127	t116317	1
t128127	t126262	1
t128127	t132010	1
t128127	t142481	1
t128127	t14725	1
t128127	t164913	0
t128127	t168350	1
t128127	t169995	1
t128127	t174871	1
t128127	t178507	1
t128127	t18671	1
t128127	t226142	1
t128127	t232722	1
t128127	t3553	1
t128127	t54752	1
t128127	t65954	1
t128127	t67574	1
t128127	t71606	1
t128127	t92308	1
t128127	t99041	1
t12824	t132299	1
t12824	t133307	1
t12824	t136088	1
t12824	t172086	1
t12824	t182271	1
t12824	t201949	1
t12824	t219406	1
t12824	t28491	1
t128618	t116678	1
t128618	t175606	1
t128705	t67574	1
t13126	t174869	1
t13126	t24303	1
t13126	t96937	1
t13131	t187012	1
t13131	t66071	1
t13131	t86746	1
t13131	t9248	1
t13131	t93389	1
t13131	t98396	1
t132010	t123423	1
t132010	t178507	1
t132010	t232722	0
t132010	t3553	1
t132010	t5716	1
t132010	t67574	1
t132299	t113682	1
t132299	t136088	1
t132299	t183660	1
t132644	t157559	1
t132856	t111468	1
t132856	t113344	0
t132856	t116317	1
t132856	t128127	1
t132856	t132010	0
t132856	t142481	0
t132856	t14725	0
t132856	t151799	1
t132856	t154488	1
t132856	t160412	1
t132856	t161088	1
t132856	t164913	1
t132856	t168350	0
t132856	t169995	0
t132856	t178507	1
t132856	t17991	1
t132856	t185138	1
t132856	t18671	1
t132856	t232722	0
t132856	t27202	0
t132856	t30406	1
t132856	t32465	0
t132856	t3553	0
t132856	t48921	0
t132856	t53922	0
t132856	t54752	1
t132856	t5716	1
t132856	t5839	1
t132856	t63796	1
t132856	t65954	1
t132856	t7105	1
t132856	t71606	1
t132856	t78121	0
t132856	t92308	0
t132856	t96163	1
t132856	t99041	1
t133020	t228583	1
t133187	t121910	1
t133307	t218450	1
t134229	t126705	1
t134229	t647	1
t134229	t66071	1
t134851	t149351	1
t136088	t174871	1
t136088	t219406	1
t136879	t108923	1
t136985	t101533	1
t136985	t114480	1
t136985	t116396	1
t136985	t146373	1
t136985	t147926	1
t136985	t168676	1
t136985	t185504	1
t136985	t195961	1
t136985	t88228	1
t136985	t96937	1
t137706	t168419	1
t137706	t29517	1
t138089	t147926	1
t139596	t113767	1
t139596	t127933	1
t139596	t64930	1
t139596	t93389	1
t139797	t14395	1
t139797	t173387	1
t139797	t205420	1
t139797	t28001	1
t139797	t52988	1
t139797	t92077	1
t140783	t117827	1
t140783	t179621	1
t140783	t205420	1
t140783	t99041	1
t141978	t132010	1
t141978	t14725	1
t141978	t154488	1
t141978	t169995	1
t141978	t232722	1
t141978	t36537	1
t141978	t5839	1
t141978	t71606	1
t142481	t111468	1
t142481	t116317	1
t142481	t132010	0
t142481	t141978	1
t142481	t145025	1
t142481	t14725	0
t142481	t150553	1
t142481	t151799	1
t142481	t154488	1
t142481	t160412	0
t142481	t161088	1
t142481	t166883	1
t142481	t169995	0
t142481	t171161	1
t142481	t178507	0
t142481	t18671	1
t142481	t207241	1
t142481	t232722	0
t142481	t29517	1
t142481	t30406	1
t142481	t3553	0
t142481	t54752	1
t142481	t5716	1
t142481	t5839	1
t142481	t71606	1
t142481	t92308	1
t142481	t96163	1
t142481	t99041	1
t142752	t223690	1
t143721	t92308	1
t143851	t116678	1
t143851	t119775	1
t143851	t49803	1
t144000	t151803	1
t144862	t187126	1
t14494	t144000	1
t145025	t156794	1
t145025	t51956	1
t146191	t39632	1
t146373	t175940	1
t146373	t95693	1
t146373	t96937	1
t14697	t71741	1
t147240	t189785	1
t147240	t48002	1
t14725	t113139	1
t14725	t132010	0
t14725	t154488	1
t14725	t169995	0
t14725	t178507	0
t14725	t215053	1
t14725	t232722	0
t14725	t3553	1
t14725	t5716	1
t14725	t5839	1
t14725	t71606	1
t14725	t92308	1
t14725	t9248	1
t14725	t96163	1
t14725	t99041	1
t147926	t174871	1
t147926	t96163	1
t148167	t152048	1
t148384	t113682	1
t148384	t166891	1
t148821	t94904	1
t149441	t190884	1
t149766	t9248	1
t149975	t13126	1
t149975	t15037	1
t149975	t175940	1
t149975	t17925	1
t149975	t206186	0
t15037	t206186	1
t15037	t97945	1
t150553	t175940	1
t150553	t178507	1
t150553	t232722	1
t151031	t134658	1
t151148	t147331	0
t151473	t105368	1
t151473	t113457	1
t151473	t148167	1
t151473	t21264	1
t151473	t232722	1
