node1	node2	distance
t103485	t48218	1
t106850	t185493	0
t106850	t36033	1
t106850	t54378	1
t106850	t65448	1
t106850	t74125	1
t106850	t81701	1
t106850	t95799	1
t106894	t105563	1
t10813	t5808	1
t112216	t189417	1
t115238	t6884	1
t11786	t18603	1
t120127	t124154	0
t120127	t54378	1
t128577	t81701	1
t135153	t36033	1
t135153	t46768	1
t135153	t81701	1
t136112	t226439	1
t136112	t35907	1
t138928	t118729	1
t138928	t84045	1
t147415	t65448	1
t147415	t96764	1
t148423	t120840	1
t148605	t5808	1
t150566	t100612	1
t151639	t124154	1
t151639	t186127	1
t151639	t195944	1
t152977	t166852	1
t153625	t98510	1
t154464	t168280	1
t159234	t6884	1
t169878	t131924	1
t17041	t194502	1
t172528	t77671	1
t172662	t81701	1
t177093	t77671	1
t185493	t172662	1
t185493	t36964	1
t185493	t54378	1
t185493	t81701	1
t185493	t95799	1
t18820	t168280	1
t202222	t172528	1
t205478	t227299	1
t211745	t147415	1
t220144	t100612	1
t225068	t5808	1
t226439	t100612	1
t226439	t169427	1
t226439	t186127	1
t227665	t189417	1
t235200	t128220	1
t23876	t49933	1
t25018	t131924	1
t27777	t36964	1
t30299	t102935	1
t30299	t84808	0
t32138	t154391	1
t3276	t132953	1
t3276	t143306	1
t35730	t119474	1
t35830	t18820	1
t35830	t3276	1
t35907	t100612	1
t35907	t226439	1
t36033	t147415	1
t36033	t172662	1
t36033	t185493	0
t36033	t202222	1
t36033	t36964	1
t36033	t52027	1
t36033	t54378	1
t36033	t5808	1
t36033	t65448	1
t36033	t74125	1
t36033	t81701	1
t36033	t95799	1
t36964	t172662	1
t36964	t81701	1
t36964	t95799	1
t43486	t136112	1
t43486	t5808	1
t48218	t23519	1
t48388	t185493	1
t48388	t36033	1
t48388	t52027	1
t49933	t169427	1
t51711	t48218	1
t52027	t5808	1
t54378	t112780	1
t54378	t124154	1
t54378	t139192	1
t54378	t81701	1
t54378	t95799	0
t65234	t205478	0
t65234	t77671	1
t65448	t145791	1
t65448	t185493	1
t65448	t52027	1
t65448	t54378	1
t65448	t81701	1
t65448	t84045	1
t65448	t95799	1
t71463	t25815	0
t71758	t30299	1
t74125	t172528	1
t74125	t185493	1
t74125	t36964	1
t74125	t54378	1
t74125	t65448	1
t74125	t81701	1
t74125	t95799	0
t75584	t140418	1
t77531	t74103	0
t84808	t102935	1
t88215	t202222	1
t95799	t81701	1
t96482	t74103	1
t96595	t61148	1
t96764	t112780	1
t96764	t65448	1
t96764	t81701	1
t98510	t218799	1
