node1	node2	distance
t100081	t180870	1
t100081	t63668	1
t100489	t196159	1
t100489	t230563	1
t100489	t59204	1
t100637	t103060	1
t100637	t15140	1
t100637	t158515	1
t100637	t164179	1
t100637	t168293	1
t100637	t202656	1
t100637	t6807	1
t100945	t119953	1
t100945	t159295	1
t100945	t170603	1
t100945	t213446	1
t100977	t111554	1
t100977	t153270	1
t100977	t95294	1
t101280	t157840	1
t102107	t144823	1
t102291	t188087	1
t102291	t218487	1
t102481	t100081	1
t102481	t102291	1
t102481	t119914	1
t102481	t132973	1
t102481	t133290	0
t102481	t149698	1
t102481	t151009	1
t102481	t153270	1
t102481	t159079	1
t102481	t164434	1
t102481	t168293	1
t102481	t188617	1
t102481	t18980	1
t102481	t19971	0
t102481	t220818	1
t102481	t39782	1
t102481	t39808	0
t102481	t58080	1
t102481	t81280	1
t102481	t98392	0
t10254	t48023	1
t102751	t102481	1
t102751	t107151	1
t102751	t119914	1
t102751	t132856	1
t102751	t133290	1
t102751	t145600	1
t102751	t149893	1
t102751	t151009	1
t102751	t152439	1
t102751	t168293	1
t102751	t16870	1
t102751	t193651	1
t102751	t198407	1
t102751	t19971	1
t102751	t202656	1
t102751	t204004	1
t102751	t218638	1
t102751	t221927	0
t102751	t31464	1
t102751	t39808	1
t102751	t48390	1
t102751	t65526	1
t102751	t98392	1
t102751	t98999	1
t102785	t142828	1
t102785	t168293	1
t102785	t174906	1
t102785	t199097	1
t102785	t231471	1
t102785	t26105	1
t103060	t119953	1
t103060	t135045	1
t103060	t168293	1
t103060	t177016	1
t103060	t178959	1
t103560	t126223	1
t103560	t178959	1
t103560	t18993	1
t103876	t103060	1
t103876	t113672	1
t103876	t114047	1
t103876	t119953	0
t103876	t135045	1
t103876	t144823	1
t103876	t164434	1
t103876	t167171	1
t103876	t167326	1
t103876	t168293	0
t103876	t16870	1
t103876	t198407	1
t103876	t199480	1
t103876	t204770	1
t103876	t22310	1
t103876	t28543	1
t103876	t3136	0
t103876	t31464	1
t103876	t45682	1
t103876	t6255	1
t103876	t6537	1
t103876	t77676	1
t103876	t81280	1
t10422	t151390	1
t104354	t119002	1
t104354	t147888	1
t104354	t161856	1
t104354	t46840	1
t104620	t159079	1
t104645	t151390	1
t104645	t68533	1
t104756	t58174	1
t104756	t59204	1
t105164	t12189	1
t105164	t13881	1
t105164	t158299	1
t105164	t187547	1
t105164	t461	1
t105293	t119953	0
t105293	t138817	1
t105293	t4136	1
t105503	t102481	1
t105503	t107138	1
t105503	t114047	1
t105503	t115941	0
t105503	t119914	1
t105503	t15051	1
t105503	t177255	1
t105503	t18993	1
t105503	t202656	1
t105503	t39808	1
t105503	t62726	1
t105503	t631	1
t105503	t98392	1
t105503	t98999	1
t107138	t108878	1
t107138	t167417	1
t107138	t202656	1
t107972	t202656	1
