node1	node2	distance
t101672	t42204	1
t101672	t55122	1
t107138	t80917	1
t107771	t164302	1
t127563	t217627	1
t132183	t116422	1
t132522	t215740	1
t142858	t192542	1
t15088	t20248	1
t159279	t98621	1
t160804	t6912	1
t163176	t199891	1
t163176	t45659	1
t165713	t159279	1
t16905	t6912	1
t173643	t112771	1
t17717	t27037	1
t180454	t205774	1
t180454	t27930	1
t184055	t20248	1
t184055	t92531	1
t184055	t98621	1
t184681	t108071	1
t189854	t57353	1
t195184	t235174	1
t195351	t43070	0
t199209	t109792	0
t199209	t199018	0
t199417	t49268	1
t206572	t215792	0
t20809	t184055	1
t20809	t20248	0
t20809	t2507	1
t20809	t28575	1
t20809	t30689	1
t20809	t68926	1
t20809	t92531	0
t208439	t122986	1
t215506	t193640	1
t217627	t221146	1
t226775	t227779	0
t231424	t182329	1
t235174	t28575	1
t235174	t64079	1
t235174	t9562	1
t26628	t141871	1
t26628	t20809	1
t26628	t30689	1
t26628	t92531	1
t27037	t6912	1
t28575	t2507	1
t30516	t71562	1
t30643	t68798	1
t30689	t9562	1
t31038	t107633	0
t45659	t9562	1
t49268	t98621	1
t49801	t57353	1
t50085	t107633	0
t51356	t107138	1
t51356	t108071	1
t51356	t20809	1
t52172	t41517	1
t54875	t189854	1
t54875	t84291	1
t55041	t107441	1
t55041	t116422	1
t58857	t107633	1
t58857	t31038	1
t6034	t159279	0
t6034	t184055	1
t6034	t195967	1
t6034	t235174	1
t6034	t28575	1
t6034	t98621	1
t62639	t9562	1
t68926	t45659	1
t70813	t189854	1
t72527	t199891	1
t73139	t82722	0
t77649	t87255	1
t80917	t184055	1
t82919	t20248	1
t82919	t20809	1
t82919	t92531	1
t84291	t24891	1
t87255	t233860	1
t87255	t28575	1
t8798	t24891	1
t90637	t24891	1
t92531	t20248	0
