node1	node2	distance
t100124	t175172	1
t107598	t190846	1
t110002	t129006	1
t113025	t41267	1
t113318	t231708	1
t113318	t96979	1
t113318	t99797	1
t113448	t175172	1
t113448	t41267	1
t119513	t15861	1
t12971	t118182	1
t12971	t207176	1
t12971	t231708	1
t12971	t85321	1
t12971	t99797	1
t132538	t183676	1
t136210	t137346	1
t136210	t73397	1
t136210	t99797	1
t147488	t231708	1
t147488	t62045	1
t147488	t96979	1
t151252	t113448	1
t151252	t175172	1
t151252	t62045	1
t151252	t76890	1
t159252	t33967	1
t159252	t37502	1
t159846	t110002	1
t159846	t42984	1
t159846	t46716	1
t163419	t76946	1
t165369	t159527	1
t16587	t96979	1
t174015	t113318	1
t174015	t16587	1
t174015	t62045	1
t17453	t190846	1
t177333	t212266	1
t18378	t15861	1
t18378	t73397	1
t18378	t99797	1
t186001	t12971	1
t186001	t15861	1
t186001	t18378	1
t186001	t199579	1
t186001	t20328	1
t186001	t35930	1
t186001	t40600	1
t186001	t58589	1
t186001	t81087	1
t186001	t92023	0
t189311	t4545	1
t189311	t81087	1
t196443	t80419	0
t196870	t119513	1
t196870	t12971	1
t198310	t182712	1
t198310	t198312	0
t20328	t15861	0
t20328	t18378	1
t20328	t35930	0
t20328	t40556	1
t20328	t40600	1
t20328	t81087	0
t207151	t24499	1
t207176	t118182	1
t216586	t215494	0
t216586	t218753	1
t221755	t16587	1
t231708	t96979	1
t231708	t99797	1
t233117	t85539	1
t234213	t190846	1
t35930	t15861	0
t35930	t175172	1
t35930	t18378	1
t35930	t40600	1
t35930	t41267	1
t35930	t81087	0
t36832	t201430	1
t40556	t15861	1
t40556	t162967	1
t40556	t175172	1
t40556	t18378	1
t40556	t35930	1
t40556	t40600	1
t40556	t81087	1
t40600	t15861	1
t40600	t175172	1
t40600	t176041	1
t40600	t18378	1
t40600	t33967	1
t40600	t4515	1
t40600	t81087	1
t41351	t47359	1
t42984	t190846	1
t4515	t41267	1
t46566	t21341	1
t46566	t99797	1
t4666	t33967	1
t46716	t190846	1
t46716	t42984	0
t47359	t47679	1
t47359	t68833	0
t4785	t162967	1
t4785	t212266	1
t52132	t47679	1
t52132	t82099	1
t53427	t69593	1
t54821	t41267	1
t56489	t18093	1
t58920	t89038	0
t62045	t16587	1
t62045	t81087	1
t62045	t99797	1
t63176	t81087	1
t64565	t177333	1
t64968	t18378	1
t65605	t62617	0
t67235	t15861	1
t67235	t17453	1
t68833	t47679	1
t72343	t196443	0
t72343	t46566	1
t72343	t80419	0
t75009	t85539	0
t75009	t89038	1
t75501	t201430	0
t75501	t77463	0
t75577	t85539	1
t76946	t159527	1
t77463	t201430	1
t77463	t85199	1
t77575	t47359	1
t77575	t47679	0
t77575	t68833	1
t77575	t96979	1
t81087	t15861	0
t81087	t18378	1
t81087	t73397	1
t82455	t82099	0
t90410	t175172	1
t92023	t12971	0
t99797	t73397	0
t99797	t96979	1
