node1	node2	distance
t100855	t110242	1
t100855	t139673	1
t100855	t214153	1
t105507	t12561	1
t105507	t98851	1
t105629	t129608	1
t10870	t110242	1
t10870	t117151	1
t10870	t164972	1
t10870	t2466	1
t10870	t27750	1
t109292	t115660	1
t110242	t147584	1
t112563	t122505	1
t112563	t145825	1
t112563	t2466	0
t112563	t27750	1
t112563	t32344	1
t115504	t124103	1
t116867	t48846	1
t117151	t122505	1
t123475	t117151	1
t123475	t145825	0
t123475	t15931	1
t123475	t171143	1
t123475	t216604	1
t124103	t122505	1
t127866	t139673	1
t129608	t5250	1
t145224	t181738	1
t145825	t117151	1
t145825	t122505	0
t145825	t15931	1
t145825	t216604	1
t145825	t27750	1
t145825	t32344	0
t148088	t112563	1
t148088	t140502	1
t152177	t216604	1
t152497	t164972	1
t152497	t223960	1
t161834	t47026	1
t164972	t112563	1
t164972	t129608	1
t164972	t66603	1
t164972	t8482	1
t16778	t197005	1
t168235	t117151	1
t168235	t122505	1
t168235	t145825	1
t168235	t2466	1
t171136	t228138	1
t171143	t145825	1
t172754	t79574	1
t180467	t197005	1
t181429	t214153	1
t186368	t57741	0
t190446	t72586	1
t191130	t117151	1
t191130	t6210	1
t197005	t123475	1
t197005	t145825	1
t197005	t152177	1
t197005	t171143	1
t197005	t27750	1
t199763	t90001	0
t199763	t90880	1
t216604	t15931	1
t22404	t145825	1
t22404	t146662	1
t225756	t145825	1
t227299	t79574	1
t231435	t8585	1
t23939	t34340	0
t2466	t117151	0
t2466	t122505	0
t2466	t129417	1
t2466	t145825	0
t2466	t27750	1
t2466	t32344	0
t27750	t117151	0
t27750	t122505	1
t28995	t186368	0
t28995	t57741	1
t29075	t197005	1
t29221	t186368	1
t29221	t57741	1
t30412	t112563	1
t30412	t117151	1
t30412	t122505	1
t30412	t145825	1
t30412	t2466	1
t30412	t27750	1
t30412	t32344	0
t30992	t28059	0
t30992	t52439	0
t32344	t117151	1
t32344	t122505	1
t32344	t27750	1
t38949	t118622	1
t39699	t100855	1
t39699	t39701	0
t39701	t100855	1
t39701	t146662	1
t39701	t15931	1
t45842	t49631	1
t46250	t27750	1
t46983	t39699	1
t46983	t9331	1
t47026	t228138	1
t48846	t115660	1
t52439	t28059	0
t55445	t45842	0
t60827	t34340	0
t6210	t142301	1
t62626	t110242	1
t63321	t57397	1
t72034	t194158	1
t72034	t32344	1
t72034	t54991	1
t72845	t145825	1
t72845	t54991	1
t8482	t30412	1
t87428	t22007	1
t90001	t90880	1
t9331	t65574	1
