node1	node2	distance
t100388	t183080	1
t101794	t54052	1
t102697	t183080	1
t108989	t10501	1
t108989	t129423	0
t108989	t142819	0
t108989	t167269	1
t108989	t199808	0
t108989	t31608	0
t108989	t56363	0
t110762	t12984	1
t111084	t103176	1
t115881	t74509	1
t116779	t113861	1
t116779	t168376	1
t116779	t22786	1
t122659	t43183	1
t122659	t74589	1
t127697	t142819	1
t129423	t142819	0
t129423	t199808	0
t129423	t31608	0
t129423	t44738	1
t129423	t56363	0
t12984	t194894	1
t131327	t101557	1
t143366	t210466	1
t143366	t62248	1
t145609	t74509	1
t147421	t174568	1
t15006	t183080	1
t157927	t223329	1
t157927	t74509	1
t15952	t3982	1
t15952	t44738	1
t167269	t96679	1
t171102	t44738	1
t173129	t43183	1
t174568	t16497	1
t174568	t43250	1
t178531	t129423	1
t181897	t30390	1
t194542	t142819	1
t194894	t56363	1
t199808	t142819	0
t199808	t31608	0
t199808	t56363	0
t200701	t103070	1
t200701	t64207	1
t202552	t180636	1
t202552	t230576	1
t210790	t100388	1
t212160	t114619	1
t212176	t189662	1
t223329	t211155	1
t223329	t88086	1
t231703	t231754	1
t31608	t142819	0
t31608	t52818	1
t33024	t161972	1
t36438	t132360	1
t38905	t210466	0
t38905	t74589	1
t40616	t181684	1
t40616	t223329	1
t40616	t95104	1
t45572	t10684	1
t45572	t115881	1
t45572	t90612	0
t53377	t111807	1
t53377	t155416	1
t56363	t142819	0
t56363	t161154	1
t56363	t31608	0
t60055	t36338	1
t62374	t44738	1
t62374	t62248	1
t64450	t38905	1
t64450	t94469	0
t67919	t104814	1
t67919	t87982	1
t74287	t108989	1
t74287	t129423	1
t74287	t142819	1
t74287	t194894	1
t74287	t199808	1
t74287	t31608	1
t74287	t56363	1
t75219	t108327	1
t75219	t95028	1
t75513	t111084	1
t75513	t62374	1
t76140	t10684	1
t79467	t56933	0
t80740	t40616	1
t86089	t113397	1
t86089	t88767	1
t8642	t182085	1
t870	t144240	1
t87982	t104814	0
t88767	t47441	1
t91760	t87621	1
t93440	t103176	1
t95104	t100388	1
t96931	t101557	1
