node1	node2	distance
t108551	t114049	1
t108551	t116776	1
t108551	t14648	1
t108551	t184001	1
t108551	t212962	1
t108551	t36289	1
t108551	t84011	1
t110612	t61973	1
t116776	t31765	1
t117332	t120871	1
t117332	t205767	1
t117701	t137011	1
t117701	t36289	1
t130575	t108551	1
t130575	t114049	1
t130575	t116776	1
t130575	t128465	1
t130575	t137011	1
t130575	t141092	1
t130575	t147258	1
t130575	t165850	1
t130575	t17219	0
t130575	t194309	1
t130575	t22287	0
t130575	t36289	0
t130575	t44028	1
t130575	t461	1
t130575	t52307	1
t130575	t788	1
t130575	t84011	1
t130575	t92148	1
t133950	t233755	1
t137630	t31527	1
t137950	t184001	1
t137950	t194309	1
t141092	t121436	1
t141092	t31765	1
t141092	t84011	1
t142552	t204356	1
t14588	t42928	1
t147258	t114049	1
t148834	t114049	1
t1496	t4913	0
t154442	t114049	1
t154442	t130575	1
t154442	t141092	1
t154442	t17219	1
t154442	t185598	1
t154442	t2837	1
t156146	t108551	1
t156146	t184001	1
t156146	t226472	1
t156146	t73369	1
t156146	t90767	1
t162225	t52307	1
t165850	t137011	1
t165850	t147258	1
t165850	t52307	1
t167002	t204356	1
t167234	t184001	1
t167234	t58279	1
t17219	t108551	0
t17219	t114049	1
t17219	t116776	1
t17219	t36289	1
t17219	t84011	1
t180721	t20630	1
t180721	t56002	1
t183967	t31765	1
t184001	t147258	1
t190113	t14648	1
t194309	t108551	1
t194309	t114049	1
t194309	t117701	1
t194309	t142552	1
t194309	t183994	1
t194838	t23144	1
t204356	t116776	1
t211912	t211165	0
t215990	t147556	1
t218997	t26720	1
t22287	t165850	1
t22287	t52307	1
t228606	t183967	1
t229962	t64168	1
t230858	t109448	1
t230858	t29131	1
t237846	t64168	1
t29131	t147556	1
t30613	t36289	1
t35657	t49431	1
t36289	t114049	1
t36289	t137011	1
t36289	t84011	1
t37425	t62386	1
t38427	t23144	0
t38427	t32915	1
t38427	t62288	1
t39226	t37425	1
t52307	t114049	1
t52307	t116776	1
t52307	t166980	1
t52307	t29131	1
t62288	t23144	1
t67690	t117349	1
t73369	t108551	1
t73369	t194309	1
t76677	t147258	1
t76677	t29131	1
t78537	t39226	1
t8351	t118653	1
t84011	t116776	1
t84011	t44028	1
t9200	t148834	1
t92514	t137950	1
t94321	t14648	1
t9674	t92148	0
