node1	node2	distance
t110074	t225467	1
t110074	t69012	1
t110945	t136569	1
t112285	t132093	1
t112285	t163603	1
t112844	t226028	1
t116520	t69012	1
t118216	t119263	1
t118216	t131714	1
t118216	t97728	1
t119263	t113176	1
t122741	t195810	1
t131714	t25550	1
t131714	t96652	1
t133741	t159772	1
t133741	t161387	1
t135719	t110124	1
t139734	t198640	1
t14738	t225467	1
t14810	t109839	1
t151569	t225467	1
t157132	t100271	1
t157132	t161387	1
t159374	t225467	1
t159374	t228954	1
t159374	t35600	1
t159374	t88025	1
t161876	t145779	1
t161876	t66372	1
t163603	t97728	1
t171303	t179736	1
t171782	t195810	1
t173530	t163603	1
t173530	t225467	1
t176055	t97728	1
t176561	t110074	1
t18979	t122741	1
t18979	t170287	1
t192844	t108823	1
t192844	t218683	1
t195810	t153734	1
t196978	t110124	1
t196978	t112285	1
t198179	t218683	1
t198179	t75507	1
t203125	t199323	0
t204406	t122741	1
t206073	t100271	1
t206073	t161387	1
t20867	t157132	1
t215563	t236514	1
t219870	t66372	1
t225467	t25550	1
t228954	t90883	1
t231520	t52717	1
t33336	t206733	0
t34621	t126121	1
t34621	t231520	1
t35600	t59089	0
t36979	t204864	0
t37362	t112844	1
t37362	t35600	0
t37362	t45495	0
t37362	t59089	0
t39266	t204649	0
t39648	t66372	1
t42813	t225467	1
t42939	t23723	1
t42939	t3718	1
t45495	t35600	1
t45495	t59089	0
t46771	t110124	1
t50820	t48201	1
t5762	t69012	1
t58326	t68698	1
t60436	t90883	0
t63960	t116520	1
t63960	t5762	1
t66372	t116520	1
t66372	t63960	1
t66372	t69012	0
t66372	t98956	1
t67062	t37362	0
t67062	t45495	0
t67062	t59089	0
t67062	t70223	1
t68146	t179736	1
t68522	t113176	1
t68522	t119263	1
t7185	t20243	1
t73067	t3718	1
t77726	t85364	1
t87058	t60436	1
t96263	t66372	1
t98956	t20243	1
t99122	t100271	1
t99122	t116520	1
